age,position_cat,market_value,page_views,fpl_value,fpl_points,region,big_club,fpl_sel
21,2,4.0,806,5.0,30,1.0,1,0.0
25,1,25.0,672,6.5,28,3.0,1,0.1
33,4,4.0,252,5.0,17,2.0,1,0.1
22,1,7.0,510,5.5,8,2.0,1,0.1
24,3,7.0,355,4.5,2,2.0,1,0.3
29,2,9.0,412,5.5,131,2.0,0,8.0
29,1,11.0,1141,6.5,130,1.0,0,3.4
36,4,1.0,439,4.5,113,3.0,0,2.2
33,3,2.0,345,5.0,87,2.0,0,0.6
32,3,3.5,131,4.5,71,3.0,0,0.6
30,3,4.0,169,4.5,67,2.0,0,0.8
30,1,4.5,295,5.0,65,4.0,0,0.1
31,3,2.5,263,4.5,57,2.0,0,0.1
27,2,8.0,703,5.0,55,1.0,0,0.2
27,3,7.0,242,5.0,50,2.0,0,0.3
32,2,2.5,237,4.5,48,2.0,0,0.4
26,1,15.0,398,6.0,43,3.0,0,0.1
27,1,6.0,708,5.5,43,2.0,0,0.2
24,2,6.0,124,5.0,38,2.0,0,0.0
26,3,5.5,177,4.5,35,2.0,0,0.2
28,3,4.0,128,4.5,31,2.0,0,0.0
21,1,4.0,474,5.5,28,4.0,0,0.1
30,3,1.0,201,4.0,15,3.0,0,5.4
22,2,5.0,977,4.5,12,1.0,0,2.3
30,1,2.0,473,5.5,8,3.0,0,0.0
30,4,3.0,268,4.5,2,2.0,0,0.2
26,3,4.0,74,4.5,0,2.0,0,0.3
25,1,5.5,164,5.0,0,2.0,0,0.1
22,2,8.0,258,5.0,0,1.0,0,0.6
37,3,1.0,458,5.0,131,2.0,0,11.8
27,1,15.0,502,6.5,118,3.0,0,2.0
26,1,9.0,454,6.0,115,2.0,0,5.6
34,4,4.0,484,4.5,113,1.0,0,20.7
27,1,15.0,570,6.0,110,2.0,0,2.4
27,3,6.0,215,5.0,102,1.0,0,6.0
32,2,4.0,242,5.5,99,2.0,0,0.8
31,2,5.0,238,5.5,84,2.0,0,0.0
