age,position_cat,page_views,fpl_value,fpl_points,region,big_club,fpl_sel,market_value
19,1,1227,5.5,0,1,0,3.3,8
21,2,4626,9.5,225,1,1,38.6,45
23,1,4161,12.5,224,1,1,35.1,60
25,1,1130,9.5,218,2,1,12,40
25,1,2185,8,174,4,1,1.6,30
30,4,847,5.5,143,2,1,12.6,24
30,3,511,6,126,2,1,9,28
28,3,756,6,120,2,1,13.3,35
26,2,1002,5,103,4,1,3.1,25
23,2,1239,5,93,1,1,3.5,25
24,3,396,5.5,90,2,1,1.8,12
27,3,848,6.5,84,1,1,0.6,28
30,2,1161,5,76,2,1,1.8,18
23,1,1135,7.5,55,2,1,0.1,13
26,3,525,5.5,51,1,1,17.3,10
27,2,1162,5.5,43,2,1,0.3,20
21,2,806,5,30,1,1,0,4
25,1,672,6.5,28,3,1,0.1,25
33,4,252,5,17,2,1,0.1,4
22,1,510,5.5,8,2,1,0.1,7
24,3,355,4.5,2,2,1,0.3,7
29,2,412,5.5,131,2,0,8,9
29,1,1141,6.5,130,1,0,3.4,11
36,4,439,4.5,113,3,0,2.2,1
33,3,345,5,87,2,0,0.6,2
32,3,131,4.5,71,3,0,0.6,3.5
30,3,169,4.5,67,2,0,0.8,4
30,1,295,5,65,4,0,0.1,4.5
31,3,263,4.5,57,2,0,0.1,2.5
27,2,703,5,55,1,0,0.2,8
27,3,242,5,50,2,0,0.3,7
32,2,237,4.5,48,2,0,0.4,2.5
26,1,398,6,43,3,0,0.1,15
27,1,708,5.5,43,2,0,0.2,6
24,2,124,5,38,2,0,0,6
26,3,177,4.5,35,2,0,0.2,5.5
28,3,128,4.5,31,2,0,0,4
21,1,474,5.5,28,4,0,0.1,4
30,3,201,4,15,3,0,5.4,1
22,2,977,4.5,12,1,0,2.3,5
30,1,473,5.5,8,3,0,0,2
30,4,268,4.5,2,2,0,0.2,3
26,3,74,4.5,0,2,0,0.3,4
25,1,164,5,0,2,0,0.1,5.5
22,2,258,5,0,1,0,0.6,8
37,3,458,5,131,2,0,11.8,1
27,1,502,6.5,118,3,0,2,15
26,1,454,6,115,2,0,5.6,9
34,4,484,4.5,113,1,0,20.7,4
27,1,570,6,110,2,0,2.4,15
27,3,215,5,102,1,0,6,6
32,2,242,5.5,99,2,0,0.8,4
31,2,238,5.5,84,2,0,0,5
29,3,375,5,79,2,0,1.6,7
27,2,564,5,77,1,0,0.2,7
29,3,236,5,74,4,0,0.3,4.5
27,1,472,6,73,1,0,2.9,10
30,2,165,4.5,54,3,0,0.4,4
28,1,454,5,52,2,0,0.2,3
28,1,766,5,52,2,0,0.7,2.5
18,1,169,4.5,12,1,0,0.2,1.5
19,2,15,4.5,9,1,0,0.1,0.25
34,4,100,4,0,2,0,5.3,1.5
26,3,82,4.5,0,4,0,1.3,1
29,1,1210,6,133,2,0,6.5,8
24,1,493,7,133,3,0,7.2,15
27,1,1142,7.5,132,1,0,0.5,18
29,3,338,5,102,4,0,0.4,10
33,3,867,5,98,2,0,2.1,7
27,1,845,7,89,4,0,3.4,18
27,2,284,5,79,4,0,0.1,12
30,2,425,5.5,71,1,0,0.1,7
30,4,459,4.5,69,2,0,0.4,2.5
33,3,187,4.5,69,2,0,0.9,2
28,1,1212,6,69,1,0,0.4,10
30,4,266,4.5,64,2,0,0.8,8
27,3,380,5,60,1,0,1.3,12
25,2,286,4.5,55,2,0,0.3,9
27,1,394,5.5,55,4,0,0.2,12
29,3,247,4.5,45,2,0,1.1,9
32,3,698,5,45,3,0,2.7,7
21,2,288,4.5,38,2,0,0.4,5
23,3,199,4.5,34,4,0,0.2,7
23,3,198,4.5,29,1,0,0.3,4.5
21,1,412,4.5,16,1,0,5.9,1
27,1,214,5.5,12,4,0,0.1,10
